name,calories,protein,carbs,fat,last_updated,source_url,serving_size
Air Bake Zinger Supreme (Variant 1),475,N/A,45,15,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Baked Chiken Nuggets (Variant 1),32,N/A,1.3,32.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Fitness Plate,233,N/A,22,5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Fitness Plate (Variant 1),212,N/A,13,6,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Grilled Chicken Breast,N/A,N/A,0,3,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Baked Chicken Burger,380,N/A,40,11.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Baked Buffalo Chicken Burger,380,N/A,40,11.5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Air Baked Zinger Chicken Burger,272,N/A,35,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Fish And Chips,314,N/A,10,314,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Broasted Bucket,192,N/A,10,10,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Crispy Chicken Taco,210,18,13,10,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Beef Taco,172,15,10,8,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Chili Nachos,302,25,20,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Twister Nachos,209,12,20,9,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Grilled Chicken Taco,145,15,10,5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Mackintosh Iso Pro,241,N/A,22,7,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Biscoff Softies (Variant 1),208,N/A,19,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Kinder Bueno Iso Pro,220,15,15,11,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Milk Chocolate Pro,177,N/A,18,5,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Brownie Choco,268,N/A,17,12,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Mix Brownie,289,N/A,13,289,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Speculoos Cake Pro,270,N/A,30,10,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Speculoos Biscuits Pro,257,N/A,29,9,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
BBQ Chicken Pizza,512,N/A,53,16,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Pesto Pizza,428,N/A,55,12,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Zattar Pizza,390,N/A,57,10,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Iso Pro Hot Chocolate,128,N/A,7,128,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Biscoff Milkshake,157,10,18,5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Milk Chocolate Milk Shake Iso Pro,200,N/A,15,6,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Kinder Bueno Milkshake,226,N/A,18,6,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Egg With Sausage Muffin,386,30,35,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Egg With Salami Muffin,330,N/A,10,330,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Club Sandwich,441,N/A,50,12,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Turkey Sandwich,308,N/A,26.7,8.94,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Egg And Beef Bacon,382,N/A,35,14,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Truffle Mushroom Burger,404,30,35,16,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Grilled Chicken Burger,288,28,30,6,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Ts Burger,386,30,35,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Classic Chicken Burger,406,30,40,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Cheese Burger (Variant 1),326,30,35,8,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Glazed Donut Chicken Burger,478,33,44,18,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Spicy Cheetos Chicken Burger,442,30,49,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Smashed Burger,428,45,35,12,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Big Mouth Burger,495,50,40,15,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Croon Burger,388,N/A,40,12,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Croon Chicken,434,N/A,45,14,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Crispy Fries,N/A,N/A,8,232,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Tee's Fries,281,N/A,17,281,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Truffle Parmesan Fries,232,N/A,36,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
French Fries (Variant 1),259,N/A,11,259,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Jalapeno Bites,205,3,28,9,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Sweet Potato (Variant 1),222,N/A,28,11,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Mozzarella Sticks,276,10,40,8.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Cajun Fries,222,N/A,28,11,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Black Cheesy Bites,258,N/A,21,15,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Black Cheesy Bites (Variant 1),213,N/A,9,213,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Mushroom Fries,205,N/A,5,205,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Mushroom Fries (Variant 1),N/A,N/A,10,250,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Tokyo Fries,242,N/A,36,9,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Tokyo Fries (Variant 1),224,N/A,8,224,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Pecan Cookies,174,N/A,25,6,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Oreo Cheesecake,104,10,7,N/A,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
French Toast,231,N/A,23,11,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Snickers Bars,180,N/A,17,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Twix Protein Bar,209,N/A,9,209,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Biscoff Donut Pro,131,7,10,7,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Kinder Donut Pro,152,8,12,8,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Glazed Donut Pro,110,7,10,2,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Oreo Donut Pro,266,N/A,25,14,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Burnt Toffee,178,N/A,178.9,N/A,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Cinnamon Pro,220,N/A,26,8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Chocolate Swirl,250,N/A,28,10,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Keto Brownie,170,N/A,6,14,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Protein Pecan Lotus Bars,N/A,10,16.6,11.8,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Biscoff Cheesecake Protein,104,N/A,7,N/A,2024-12-31 21:51:15,https://www.talabat.com/kuwait/restaurant/720190/SURRA?&aid=42,N/A
Biscoff Softies (Variant 2),208,N/A,19,8,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Bake Zinger Supreme (Variant 2),475,N/A,45,15,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
French Fries (Variant 2),259,N/A,11,259,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Twister Wrap (Variant 2),363,N/A,45,13,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Baked Chiken Nuggets (Variant 2),32,N/A,1.3,32.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Yuzo Mojito,N/A,N/A,0.5,73.06,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Apple Mojito,N/A,N/A,0.15,69.59,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Passion Fruit Mojito,N/A,N/A,0.15,78.63,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Caesar Wrap (Variant 1),349,N/A,40,13,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Barbeque Wrap (Variant 1),335,N/A,45,11,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Twister Wrap (Variant 3),363,N/A,45,13,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Alternative Wrap (Variant 1),343,N/A,45,11,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Falafel Wrap (Variant 1),353,N/A,49,13,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Legendary Bowl (Variant 1),316,N/A,45,4,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Sumac Chicken Fatteh (Variant 1),N/A,368,5,9.1,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Crispy Chicken Tikka Bowl (Variant 1),381,N/A,9.1,381,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
T Arabia (Variant 1),360,N/A,46,12.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Beef Arabia (Variant 1),424,N/A,16.5,424.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Shrimp Arabia (Variant 1),401,N/A,49,14.6,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Fire Fighter Supreme (Variant 1),398,N/A,47,14,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Santa Fe Chicken (Variant 1),369,N/A,15.6,369.3,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Fish Fillet Sandwich (Variant 1),386,N/A,50,10,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Bake Zinger Supreme (Variant 3),475,N/A,45,15,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Baked Chiken Nuggets (Variant 3),32,N/A,1.3,32.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Fitness Plate (Variant 2),233,N/A,22,5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Fitness Plate (Variant 3),212,N/A,13,6,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Grilled Chicken Breast (Variant 1),N/A,N/A,0,3,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Baked Chicken Burger (Variant 1),380,N/A,40,11.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Baked Buffalo Chicken Burger (Variant 1),380,N/A,40,11.5,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
Air Baked Zinger Chicken Burger (Variant 1),272,N/A,35,8,2024-12-31 21:54:11,https://www.talabat.com/kuwait/restaurant/674628/QIBLA?&aid=50,N/A
